Title,Genre,Thumbnail,Description,PublishDate,language,Authors
Fantastic Beasts and Where to Find Them,Fantasy,http://books.google.com/books/content?id=xNgstAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Fantastic Beasts and Where to Find Them: Coloring Book"" is parody of ""Fantastic Beasts and Where to Find Them: Magical Creatures Coloring Book."" Harry Potter fans are loving coloring this book.",2017-09-02,en,J K. ROFLING
The Psychology of Harry Potter,Fantasy,http://books.google.com/books/content?id=L18VBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Harry Potter has provided a portal to the wizarding world for millions of readers, but an examination of Harry, his friends and his enemies will take us on yet another journey: through the psyche of the Muggle (and wizard!) mind. The twists and turns of the series, as well as the psychological depth and complexity of J. K. Rowling’s characters, have kept fans enthralled with and puzzling over the many mysteries that permeate Hogwarts and beyond: • Do the Harry Potter books encourage disobedience? • Why is everyone so fascinated by Professor Lupin? • What exactly will Harry and his friends do when they finally pass those N.E.W.T.s? • Do even wizards live by the ticking of the clock? • Is Harry destined to end up alone? And why did it take Ron and Hermione so long to get together? Now, in The Psychology of Harry Potter, leading psychologists delve into the ultimate Chamber of Secrets, analyzing human mind and motivation by examining the themes and characters that make the Harry Potter books the bestselling fantasy series of all time. Grab a spot on the nearest couch, and settle in for some fresh revelations about our favorite young wizard!",2007-04-10,en,Neil Mulholland
Heroism in the Harry Potter Series,Fantasy,http://books.google.com/books/content?id=1NzAS0KZGV4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This collection examines the ways fictional heroism in the twenty-first century challenges the idealized forms of a somewhat simplistic masculinity associated with genres like the epic, romance and classic adventure story. The collection's three sections address broad issues related to genre, Harry Potter's development as the central heroic character and the question of who qualifies as a hero in the Harry Potter series.",2011,en,Katrin Berndt
Harry Potter and the Cursed Child,Fantasy,http://books.google.com/books/content?id=kLAoswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"As an overworked employee of the Ministry of Magic, a husband, and a father, Harry Potter struggles with a past that refuses to stay where it belongs while his youngest son, Albus, finds the weight of the family legacy difficult to bear.",2017,en,J. K. Rowling
Harry Potter and the Deathly Hallows,Fantasy,http://books.google.com/books/content?id=GZAoAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""The final adventure in J.K. Rowling's phenomenal, best-selling Harry Potter book series""--Provided by publisher.",2007,en,J. K. Rowling
Harry Potter and International Relations,Fantasy,http://books.google.com/books/content?id=DKcWE3WXoj8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Drawing on a range of historical and sociological sources, this work shows how aspects of Harry's world contain aspects of our own. It also includes chapters on the political economy of the franchise, and on the problems of studying popular culture.",2006,en,Daniel H. Nexon
"Harry Potter, the Familiar Hero",Fantasy,http://books.google.com/books/content?id=PRL-jg9aO7YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Bachelor Thesis from the year 2010 in the subject English Language and Literature Studies - Literature, grade: 1,3, Ruhr-University of Bochum (Anglistik/Amerikanistik), language: English, abstract: Since the publication of the first book in the series in 1997, Harry Potter has become a worldwide phenomenon. One can think of several explanations for this lasting popularity. Maybe one reason for it lies in the use of certain archetypes and story arcs that can be found in popular tales. This thesis will examine in what way and to what extent Harry Potter can be added to the archetypal heroes the American mythologist Joseph Campbell has described in his book ""The Hero with a Thousand Faces"" in 1949, first by lining out the different stages Campbell laid out in his book and then by applying them to the Harry Potter novels. The analysis is divided according to the three stages Campbell uses (Departure - Initiation - Return).",2011-05,en,Maximilian Horsthemke
The Ultimate Harry Potter and Philosophy,Fantasy,http://books.google.com/books/content?id=pBjDSPhUjp8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A philosophical exploration of the entire seven-book Harry Potter series Harry Potter has been heralded as one of the most popular book series of all time and the philosophical nature of Harry, Hermione, and Ron's quest to rid the world of its ultimate evil is one of the many things that make this series special. The Ultimate Harry Potter and Philosophy covers all seven titles in J.K. Rowling's groundbreaking series and takes fans back to Godric's Hollow to discuss life after death, to consider what moral reasoning drove Harry to choose death, and to debate whether Sirius Black is a man or a dog. With publication timed to coincide with the release of the movie Harry Potter and the Deathly Hallows (Part 1), this book will be the definitive guide for all fans looking to appreciate the series on a deeper level. Covers a range of intriguing topics such as the redemption of Severus Snape, the power of love, and destiny in the wizarding world Gives you a new perspective on Harry Potter characters, plot lines, and themes Makes a perfect companion to the Harry Potter books and movies Packed with interesting ideas and insights, The Ultimate Harry Potter and Philosophy is an ideal companion for anyone interested in unraveling the subtext and exploring the greater issues at work in the story.",2010-08-13,en,William Irwin
Guide to the Harry Potter Novels,Fantasy,http://books.google.com/books/content?id=0o6xAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"JK Rowling now is half-way through a series which has taken the world by storm. Unusually, she has attracted success both in terms of massive sales figures and critical acclaim. This study will look at her books and consider some of the reasons for their phenomenal success. This will be done against a background of how Harry Potter relates to other contemporary childrenÆs books so that students and teachers can place them in the context for which they were written.This book has not been authorized by JK Rowling, her agent, or Warner Bros.",2002-04-01,en,Julia Eccleshare
The Fellowship of the Ring,Fantasy,http://books.google.com/books/content?id=IGvdhaVC5QwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,'The Fellowship of the Ring' is the first part of JRR Tolkien's epic masterpiece 'The Lord of the Rings'. This 50th anniversary edition features special packaging and includes the definitive edition of the text.|PB,2005,en,John Ronald Reuel Tolkien
